Publisher,Total_Global_Sales
LSP Games,120000.0
NDA Productions,120000.0
Insomniac Games,120000.0
dramatic create,110000.0
Ascaron Entertainment GmbH,110000.0
Simon & Schuster Interactive,110000.0
TOHO,110000.0
PopTop Software,110000.0
10TACLE Studios,110000.0
Gameloft,110000.0
Pack-In-Video,110000.0
Tradewest,110000.0
inXile Entertainment,100000.0
Image Epoch,100000.0
1C Company,100000.0
Interplay Productions,100000.0
TGL,100000.0
Type-Moon,100000.0
Interchannel,100000.0
Enjoy Gaming ltd.,100000.0
GameTek,100000.0
PM Studios,100000.0
Creative Core,100000.0
Origin Systems,90000.0
Hearty Robin,90000.0
Culture Publishers,90000.0
Phantom EFX,90000.0
Groove Games,90000.0
Arika,90000.0
Athena,90000.0
Nippon Amuse,90000.0
Griffin International,90000.0
Edia,90000.0
Milestone,80000.0
Iceberg Interactive,80000.0
MC2 Entertainment,80000.0
Abylight,80000.0
7G//AMES,80000.0
Crimson Cow,80000.0
KID,80000.0
Flashpoint Games,80000.0
Mitsui,80000.0
Glams,80000.0
Cloud Imperium Games Corporation,80000.0
Seventh Chord,80000.0
Yuke's,80000.0
Warp,70000.0
Misawa,70000.0
Altron,70000.0
Evolution Games,70000.0
Encore,70000.0
Elite,70000.0
Aria,70000.0
Revolution Software,70000.0
Coconuts Japan,70000.0
Locus,70000.0
Princess Soft,70000.0
Licensed 4U,70000.0
Ecole,60000.0
Sonnet,60000.0
Yumedia,60000.0
Experience Inc.,60000.0
DigiCube,60000.0
iWin,60000.0
Virtual Play Games,60000.0
HAL Laboratory,60000.0
Zenrin,60000.0
Office Create,60000.0
Fortyfive,60000.0
Grand Prix Games,60000.0
Imax,60000.0
Focus Multimedia,50000.0
Vap,50000.0
Team17 Software,50000.0
Minato Station,50000.0
Monte Christo Multimedia,50000.0
Sweets,50000.0
Big Fish Games,50000.0
Max Five,50000.0
Ertain,50000.0
Phantagram,50000.0
WayForward Technologies,50000.0
GN Software,50000.0
Lexicon Entertainment,50000.0
Easy Interactive,50000.0
Pow,50000.0
Milestone S.r.l,50000.0
Alawar Entertainment,50000.0
MediaQuest,50000.0
System Soft,50000.0
Dusenberry Martin Racing,50000.0
Pony Canyon,50000.0
Marvel Entertainment,50000.0
The Learning Company,50000.0
Mamba Games,50000.0
TechnoSoft,50000.0
Navarre Corp,50000.0
Legacy Interactive,40000.0
Devolver Digital,40000.0
49Games,40000.0
Riverhillsoft,40000.0
Yamasa Entertainment,40000.0
Kool Kizz,40000.0
Ivolgamus,40000.0
2D Boy,40000.0
Summitsoft,40000.0
Alvion,40000.0
MLB.com,40000.0
imageepoch Inc.,40000.0
G.Rev,40000.0
Playmore,40000.0
Gakken,40000.0
Societa,40000.0
Maximum Family Games,30000.0
Headup Games,30000.0
Paon Corporation,30000.0
Kids Station,30000.0
KSS,30000.0
Her Interactive,30000.0
Aerosoft,30000.0
Number None,30000.0
Datam Polystar,30000.0
ASK,30000.0
Just Flight,30000.0
HuneX,30000.0
Tryfirst,30000.0
Nexon,30000.0
Views,30000.0
NetRevo,30000.0
Extreme Entertainment Group,30000.0
Sunflowers,30000.0
Strategy First,30000.0
Kando Games,30000.0
id Software,30000.0
Blue Byte,30000.0
Berkeley,30000.0
Intergrow,30000.0
Kokopeli Digital Studios,30000.0
BushiRoad,30000.0
Kamui,30000.0
FuRyu Corporation,30000.0
Fuji,30000.0
Fields,30000.0
Cygames,30000.0
Dorart,30000.0
Phoenix Games,20000.0
Karin Entertainment,20000.0
fonfun,20000.0
Codemasters Online,20000.0
Introversion Software,20000.0
Lighthouse Interactive,20000.0
Marvelous Games,20000.0
Imageworks,20000.0
Technos Japan Corporation,20000.0
Revolution (Japan),20000.0
Giga,20000.0
Visco,20000.0
GOA,20000.0
Giza10,20000.0
Saurus,20000.0
Mycom,20000.0
Graphsim Entertainment,20000.0
Sold Out,20000.0
Mirai Shounen,20000.0
RED Entertainment,20000.0
King Records,20000.0
Nitroplus,20000.0
Warashi,20000.0
Gaga,20000.0
Plenty,20000.0
Quintet,20000.0
Masque Publishing,20000.0
"Interworks Unlimited, Inc.",10000.0
Stainless Games,10000.0
Commseed,10000.0
Boost On,10000.0
Media Entertainment,10000.0
Ongakukan,10000.0
Takuyo,10000.0
Piacci,10000.0
New World Computing,10000.0
Interchannel-Holon,10000.0
Ascaron Entertainment,10000.0
Paradox Development,10000.0
Naxat Soft,10000.0
Michaelsoft,10000.0
Rain Games,10000.0
Inti Creates,10000.0
Genterprise,10000.0
Epic Games,10000.0
Otomate,10000.0
UIG Entertainment,10000.0
EON Digital Entertainment,10000.0
nan,0.0
